x,y,z
-0.5,-0.5,0.000141807
-0.5,-0.492126,0.000283529
-0.5,-0.484252,0.000425083
-0.5,-0.476378,0.000566383
-0.5,-0.468504,0.000707347
-0.5,-0.46063,0.000847889
-0.5,-0.452756,0.000987927
-0.5,-0.444882,0.00112738
-0.5,-0.437008,0.00126615
-0.5,-0.429134,0.00140418
-0.5,-0.42126,0.00154137
-0.5,-0.413386,0.00167764
-0.5,-0.405512,0.00181292
-0.5,-0.397638,0.00194711
-0.5,-0.389764,0.00208015
-0.5,-0.38189,0.00221195
-0.5,-0.374016,0.00234243
-0.5,-0.366142,0.00247152
-0.5,-0.358268,0.00259914
-0.5,-0.350394,0.00272521
-0.5,-0.34252,0.00284967
-0.5,-0.334646,0.00297243
-0.5,-0.326772,0.00309342
-0.5,-0.318898,0.00321257
-0.5,-0.311024,0.00332982
-0.5,-0.30315,0.00344508
-0.5,-0.295276,0.0035583
-0.5,-0.287402,0.0036694
-0.5,-0.279528,0.00377833
-0.5,-0.271654,0.00388501
-0.5,-0.26378,0.00398938
-0.5,-0.255906,0.00409138
-0.5,-0.248031,0.00419095
-0.5,-0.240157,0.00428804
-0.5,-0.232283,0.00438257
-0.5,-0.224409,0.00447451
-0.5,-0.216535,0.00456379
-0.5,-0.208661,0.00465037
-0.5,-0.200787,0.00473418
-0.5,-0.192913,0.00481518
-0.5,-0.185039,0.00489333
-0.5,-0.177165,0.00496858
-0.5,-0.169291,0.00504087
-0.5,-0.161417,0.00511018
-0.5,-0.153543,0.00517646
-0.5,-0.145669,0.00523967
-0.5,-0.137795,0.00529977
-0.5,-0.129921,0.00535673
-0.5,-0.122047,0.00541052
-0.5,-0.114173,0.00546109
-0.5,-0.106299,0.00550844
-0.5,-0.0984252,0.00555251
-0.5,-0.0905512,0.0055933
-0.5,-0.0826772,0.00563077
-0.5,-0.0748031,0.00566491
-0.5,-0.0669291,0.00569569
-0.5,-0.0590551,0.00572309
-0.5,-0.0511811,0.00574711
-0.5,-0.0433071,0.00576772
-0.5,-0.0354331,0.00578491
-0.5,-0.0275591,0.00579868
-0.5,-0.019685,0.00580901
-0.5,-0.011811,0.00581591
-0.5,-0.00393701,0.00581935
-0.5,0.00393701,0.00581935
-0.5,0.011811,0.00581591
-0.5,0.019685,0.00580901
-0.5,0.0275591,0.00579868
-0.5,0.0354331,0.00578491
-0.5,0.0433071,0.00576772
-0.5,0.0511811,0.00574711
-0.5,0.0590551,0.00572309
-0.5,0.0669291,0.00569569
-0.5,0.0748031,0.00566491
-0.5,0.0826772,0.00563077
-0.5,0.0905512,0.0055933
-0.5,0.0984252,0.00555251
-0.5,0.106299,0.00550844
-0.5,0.114173,0.00546109
-0.5,0.122047,0.00541052
-0.5,0.129921,0.00535673
-0.5,0.137795,0.00529977
-0.5,0.145669,0.00523967
-0.5,0.153543,0.00517646
-0.5,0.161417,0.00511018
-0.5,0.169291,0.00504087
-0.5,0.177165,0.00496858
-0.5,0.185039,0.00489333
-0.5,0.192913,0.00481518
-0.5,0.200787,0.00473418
-0.5,0.208661,0.00465037
-0.5,0.216535,0.00456379
-0.5,0.224409,0.00447451
-0.5,0.232283,0.00438257
-0.5,0.240157,0.00428804
-0.5,0.248031,0.00419095
-0.5,0.255906,0.00409138
-0.5,0.26378,0.00398938
-0.5,0.271654,0.00388501
-0.5,0.279528,0.00377833
-0.5,0.287402,0.0036694
-0.5,0.295276,0.0035583
-0.5,0.30315,0.00344508
-0.5,0.311024,0.00332982
-0.5,0.318898,0.00321257
-0.5,0.326772,0.00309342
-0.5,0.334646,0.00297243
-0.5,0.34252,0.00284967
-0.5,0.350394,0.00272521
-0.5,0.358268,0.00259914
-0.5,0.366142,0.00247152
-0.5,0.374016,0.00234243
-0.5,0.38189,0.00221195
-0.5,0.389764,0.00208015
-0.5,0.397638,0.00194711
-0.5,0.405512,0.00181292
-0.5,0.413386,0.00167764
-0.5,0.42126,0.00154137
-0.5,0.429134,0.00140418
-0.5,0.437008,0.00126615
-0.5,0.444882,0.00112738
-0.5,0.452756,0.000987927
-0.5,0.46063,0.000847889
-0.5,0.468504,0.000707347
-0.5,0.476378,0.000566383
-0.5,0.484252,0.000425083
-0.5,0.492126,0.000283529
-0.5,0.5,0.000141807

-0.492126,-0.5,0.000283529
-0.492126,-0.492126,0.00056689
-0.492126,-0.484252,0.000849912
-0.492126,-0.476378,0.00113243
-0.492126,-0.468504,0.00141427
-0.492126,-0.46063,0.00169527
-0.492126,-0.452756,0.00197527
-0.492126,-0.444882,0.00225408
-0.492126,-0.437008,0.00253156
-0.492126,-0.429134,0.00280752
-0.492126,-0.42126,0.00308182
-0.492126,-0.413386,0.00335428
-0.492126,-0.405512,0.00362475
-0.492126,-0.397638,0.00389306
-0.492126,-0.389764,0.00415906
-0.492126,-0.38189,0.00442258
-0.492126,-0.374016,0.00468347
-0.492126,-0.366142,0.00494157
-0.492126,-0.358268,0.00519673
-0.492126,-0.350394,0.00544881
