x,y,z
-0.5,-0.5,0
-0.5,-0.492126,0
-0.5,-0.484252,0
-0.5,-0.476378,0
-0.5,-0.468504,0
-0.5,-0.46063,0
-0.5,-0.452756,0
-0.5,-0.444882,0
-0.5,-0.437008,0
-0.5,-0.429134,0
-0.5,-0.42126,0
-0.5,-0.413386,0
-0.5,-0.405512,0
-0.5,-0.397638,0
-0.5,-0.389764,0
-0.5,-0.38189,0
-0.5,-0.374016,0
-0.5,-0.366142,0
-0.5,-0.358268,0
-0.5,-0.350394,0
-0.5,-0.34252,0
-0.5,-0.334646,0
-0.5,-0.326772,0
-0.5,-0.318898,0
-0.5,-0.311024,0
-0.5,-0.30315,0
-0.5,-0.295276,0
-0.5,-0.287402,0
-0.5,-0.279528,0
-0.5,-0.271654,0
-0.5,-0.26378,0
-0.5,-0.255906,0
-0.5,-0.248031,0
-0.5,-0.240157,0
-0.5,-0.232283,0
-0.5,-0.224409,0
-0.5,-0.216535,0
-0.5,-0.208661,0
-0.5,-0.200787,0
-0.5,-0.192913,0
-0.5,-0.185039,0
-0.5,-0.177165,0
-0.5,-0.169291,0
-0.5,-0.161417,0
-0.5,-0.153543,0
-0.5,-0.145669,0
-0.5,-0.137795,0
-0.5,-0.129921,0
-0.5,-0.122047,0
-0.5,-0.114173,0
-0.5,-0.106299,0
-0.5,-0.0984252,0
-0.5,-0.0905512,0
-0.5,-0.0826772,0
-0.5,-0.0748031,0
-0.5,-0.0669291,0
-0.5,-0.0590551,0
-0.5,-0.0511811,0
-0.5,-0.0433071,0
-0.5,-0.0354331,0
-0.5,-0.0275591,0
-0.5,-0.019685,0
-0.5,-0.011811,0
-0.5,-0.00393701,0
-0.5,0.00393701,0
-0.5,0.011811,0
-0.5,0.019685,0
-0.5,0.0275591,0
-0.5,0.0354331,0
-0.5,0.0433071,0
-0.5,0.0511811,0
-0.5,0.0590551,0
-0.5,0.0669291,0
-0.5,0.0748031,0
-0.5,0.0826772,0
-0.5,0.0905512,0
-0.5,0.0984252,0
-0.5,0.106299,0
-0.5,0.114173,0
-0.5,0.122047,0
-0.5,0.129921,0
-0.5,0.137795,0
-0.5,0.145669,0
-0.5,0.153543,0
-0.5,0.161417,0
-0.5,0.169291,0
-0.5,0.177165,0
-0.5,0.185039,0
-0.5,0.192913,0
-0.5,0.200787,0
-0.5,0.208661,0
-0.5,0.216535,0
-0.5,0.224409,0
-0.5,0.232283,0
-0.5,0.240157,0
-0.5,0.248031,0
-0.5,0.255906,0
-0.5,0.26378,0
-0.5,0.271654,0
-0.5,0.279528,0
-0.5,0.287402,0
-0.5,0.295276,0
-0.5,0.30315,0
-0.5,0.311024,0
-0.5,0.318898,0
-0.5,0.326772,0
-0.5,0.334646,0
-0.5,0.34252,0
-0.5,0.350394,0
-0.5,0.358268,0
-0.5,0.366142,0
-0.5,0.374016,0
-0.5,0.38189,0
-0.5,0.389764,0
